广东频道,#genre#
CCTV-6,http://171.118.171.98:8085/rtp/226.0.2.210:9592
CCTV-6,http://171.118.171.98:8085/rtp/226.0.2.23:8096
CCTV-6,http://120.10.101.13:4000/rtp/239.253.92.193:6058
CCTV-6,http://114.226.231.241:5566/rtp/239.49.9.33:6000
CCTV-6,http://114.226.231.241:5566/rtp/239.49.1.6:6000
CCTV-7,http://sweetown.fun:4000/rtp/239.3.1.61:8104$1920x1080
CCTV-7,http://124.230.56.162:55555/rtp/239.76.253.157:9000$1920x1080
CCTV-7,http://171.120.86.128:8085/rtp/226.0.2.24:8104$720x576
CCTV-7,http://171.118.171.98:8085/rtp/226.0.2.159:9184
CCTV-7,http://171.118.171.98:8085/rtp/226.0.2.24:8104
CCTV-7,http://120.10.101.13:4000/rtp/239.253.92.194:6059
CCTV-7,http://114.226.231.241:5566/rtp/239.49.8.132:6000
CCTV-7,http://114.226.231.241:5566/rtp/239.49.1.254:6000
CCTV-8,http://171.120.86.128:8085/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://171.116.182.180:8085/rtp/226.0.2.211:9600$1920x1080
CCTV-8,http://114.226.231.240:5566/rtp/239.49.1.8:6000$720x576
CCTV-8,http://171.118.171.98:8085/rtp/226.0.2.211:9600
CCTV-8,http://171.118.171.98:8085/rtp/226.0.2.25:8112
CCTV-8,http://120.10.101.13:4000/rtp/239.253.92.195:6060
CCTV-8,http://114.226.231.241:5566/rtp/239.49.9.34:6000
CCTV-8,http://114.226.231.241:5566/rtp/239.49.1.8:6000
CCTV-9,http://171.120.86.128:8085/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://183.185.12.146:8085/rtp/226.0.2.161:9200$1920x1080
CCTV-9,http://115.171.216.51:4000/rtp/225.1.8.109:8032$720x576
CCTV-9,http://171.118.171.98:8085/rtp/226.0.2.161:9200
CCTV-9,http://171.118.171.98:8085/rtp/226.0.2.26:8120
CCTV-9,http://120.10.101.13:4000/rtp/239.253.92.107:6020
CCTV-9,http://114.226.231.241:5566/rtp/239.49.8.133:6000
CCTV-9,http://124.129.78.38:3333/rtp/239.253.254.79:8000
CCTV-10,http://124.129.78.38:3333/rtp/239.253.254.234:8000$1920x1080
CCTV-10,http://124.230.56.162:55555/rtp/239.76.253.160:9000$1920x1080
CCTV-10,http://sweetown.fun:4000/rtp/239.3.1.63:8116$1920x1080
CCTV-10,http://171.120.86.128:8085/rtp/226.0.2.27:8128$720x576
CCTV-10,http://171.118.171.98:8085/rtp/226.0.2.162:9208
CCTV-10,http://171.118.171.98:8085/rtp/226.0.2.27:8128
CCTV-10,http://120.10.101.13:4000/rtp/239.253.92.196:6061
CCTV-10,http://114.226.231.241:5566/rtp/239.49.8.134:6000
CCTV-11,http://124.230.56.162:55555/rtp/239.76.245.251:1234$1920x1080
CCTV-11,http://sweetown.fun:4000/rtp/239.3.1.152:8120$1920x1080
CCTV-11,http://119.98.124.146:4022/rtp/239.69.1.154:10560$1920x1080
CCTV-11,http://171.120.86.128:8085/rtp/226.0.2.28:8136$720x576
CCTV-11,http://171.118.171.98:8085/rtp/226.0.2.28:8136
CCTV-11,http://120.10.101.13:4000/rtp/239.253.93.153:6321
CCTV-11,http://114.226.231.241:5566/rtp/239.49.1.11:6000
CCTV-11,http://124.129.78.38:3333/rtp/239.253.254.169:8000
CCTV-12,http://171.120.86.128:8085/rtp/226.0.2.164:9224$1920x1080
CCTV-12,http://123.113.236.69:8012/rtp/239.3.1.64:8124$1920x1080
CCTV-12,http://171.120.86.128:8085/rtp/226.0.2.29:8144$720x576
CCTV-12,http://171.118.171.98:8085/rtp/226.0.2.164:9224
CCTV-12,http://171.118.171.98:8085/rtp/226.0.2.29:8144
CCTV-12,http://120.10.101.13:4000/rtp/239.253.92.197:6062
CCTV-12,http://114.226.231.241:5566/rtp/239.49.8.135:6000
CCTV-12,http://114.226.231.241:5566/rtp/239.49.1.12:6000
CCTV-13,http://171.116.182.180:8085/rtp/226.0.2.165:9232$1920x1080
CCTV-13,http://171.120.86.128:8085/rtp/226.0.2.165:9232$1920x1080
CCTV-13,http://115.171.216.51:4000/rtp/225.1.1.10:8128$1920x1080
CCTV-13,http://sweetown.fun:4000/rtp/239.3.1.124:8128$1920x1080
CCTV-13,http://171.120.86.128:8085/rtp/226.0.2.30:8152$720x576
CCTV-13,http://114.226.231.240:5566/rtp/239.49.1.13:6000$720x576
CCTV-13,http://171.118.171.98:8085/rtp/226.0.2.165:9232
CCTV-13,http://171.118.171.98:8085/rtp/226.0.2.30:8152
CCTV-14,http://171.120.86.128:8085/rtp/226.0.2.166:9240$1920x1080
CCTV-14,http://sweetown.fun:4000/rtp/239.3.1.65:8132$1920x1080
CCTV-14,http://124.230.56.162:55555/rtp/239.76.253.164:9000$1920x1080
CCTV-14,http://171.120.86.128:8085/rtp/226.0.2.31:8160$720x576
CCTV-14,http://171.118.171.98:8085/rtp/226.0.2.166:9240
CCTV-14,http://171.118.171.98:8085/rtp/226.0.2.31:8160
CCTV-14,http://120.10.101.13:4000/rtp/239.253.92.198:6063
CCTV-14,http://114.226.231.241:5566/rtp/239.49.8.136:6000
CCTV-15,http://124.129.78.38:3333/rtp/239.253.254.170:8000$1920x1080
CCTV-15,http://119.98.124.146:4022/rtp/239.69.1.155:10566$1920x1080
CCTV-15,http://171.120.86.128:8085/rtp/226.0.2.32:8168$720x576
CCTV-15,http://60.220.167.66:8085/rtp/226.0.2.32:8168$720x576
CCTV-15,http://171.118.171.98:8085/rtp/226.0.2.32:8168
CCTV-15,http://120.10.101.13:4000/rtp/239.253.93.154:6322
CCTV-15,http://114.226.231.241:5566/rtp/239.49.1.15:6000
CCTV-15,http://124.129.78.38:3333/rtp/239.253.254.170:8000
CCTV-16,http://171.120.86.128:8085/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://183.185.12.146:8085/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://124.230.56.141:55555/rtp/239.76.253.98:9000$1920x1080
CCTV-16,http://124.230.56.162:55555/rtp/239.76.253.98:9000$1920x1080
CCTV-16,http://60.189.43.82:9999/rtp/233.50.201.192:5140$1920x1080
CCTV-16,http://sweetown.fun:4000/rtp/239.3.1.184:8001$1920x1080
CCTV-16,http://60.220.167.66:8085/rtp/226.0.2.169:9264$1920x1080
CCTV-16,http://171.118.171.98:8085/rtp/226.0.2.169:9264
CCTV-17,http://171.120.86.128:8085/rtp/226.0.2.170:9272$1920x1080
CCTV-17,http://115.171.216.51:4000/rtp/225.1.8.117:8064$720x576
CCTV-17,http://171.120.86.128:8085/rtp/226.0.2.207:9568$720x576
CCTV-17,http://114.226.231.240:5566/rtp/239.49.1.7:6000$720x576
CCTV-17,http://183.185.12.146:8085/rtp/226.0.2.207:9568$720x576
CCTV-17,http://171.118.171.98:8085/rtp/226.0.2.170:9272
